TargetID,MonthStartDate,RegionKey,ChannelKey,RevenueTarget,ProfitTarget
74,2023-05-01,1,2,83308.54,25382.43
75,2023-05-01,1,3,95464.18,20385.1
76,2023-05-01,2,1,141359.0,45003.62
77,2023-05-01,2,2,54870.05,16576.47
78,2023-05-01,2,3,63083.81,16574.03
79,2023-05-01,3,1,105001.22,33746.87
80,2023-05-01,3,2,38833.98,11626.73
81,2023-05-01,3,3,56253.19,13242.14
82,2023-05-01,4,1,151904.28,46677.21
83,2023-05-01,4,2,36943.65,11174.01
84,2023-05-01,4,3,71747.99,16744.36
85,2023-05-01,5,1,103234.24,31034.02
86,2023-05-01,5,2,71519.75,23139.46
87,2023-05-01,5,3,85970.85,21202.61
88,2023-05-01,6,1,64570.1,20691.03
89,2023-05-01,6,2,48065.74,14941.18
90,2023-05-01,6,3,37718.17,10174.89
91,2023-06-01,1,1,164808.68,48775.51
92,2023-06-01,1,2,64522.77,18753.62
93,2023-06-01,1,3,88929.56,20444.8
94,2023-06-01,2,1,96039.69,28921.83
95,2023-06-01,2,2,60279.16,19022.75
96,2023-06-01,2,3,60013.32,13493.9
97,2023-06-01,3,1,91233.38,27930.02
98,2023-06-01,3,2,30775.67,9689.2
99,2023-06-01,3,3,57276.87,12077.76
100,2023-06-01,4,1,72755.92,23833.7
101,2023-06-01,4,2,56867.81,18900.79
102,2023-06-01,4,3,53439.16,12172.06
103,2023-06-01,5,1,119855.96,36336.11
104,2023-06-01,5,2,50843.84,15965.97
105,2023-06-01,5,3,66478.73,16528.84
106,2023-06-01,6,1,49525.13,15020.67
107,2023-06-01,6,2,36921.76,10088.8
108,2023-06-01,6,3,36998.26,8723.87
109,2023-07-01,1,1,139698.6,40235.01
110,2023-07-01,1,2,55591.01,16043.65
111,2023-07-01,1,3,62677.25,13838.77
112,2023-07-01,2,1,133256.34,43638.68
113,2023-07-01,2,2,46257.18,14127.19
114,2023-07-01,2,3,44948.89,11475.28
115,2023-07-01,3,1,72242.37,20717.79
116,2023-07-01,3,2,21886.59,6948.99
117,2023-07-01,3,3,54585.66,14331.78
118,2023-07-01,4,1,63758.99,19715.92
119,2023-07-01,4,2,37626.95,11690.02
120,2023-07-01,4,3,54522.51,13409.7
121,2023-07-01,5,1,84968.38,26724.24
122,2023-07-01,5,2,46717.91,13394.66
123,2023-07-01,5,3,46959.79,11398.39
124,2023-07-01,6,1,52634.07,16017.33
125,2023-07-01,6,2,15105.85,4422.49
126,2023-07-01,6,3,58582.16,14789.39
127,2023-08-01,1,1,126074.29,37038.8
128,2023-08-01,1,2,53960.81,16824.92
129,2023-08-01,1,3,94063.62,22870.06
130,2023-08-01,2,1,126560.39,39247.86
131,2023-08-01,2,2,41163.39,13479.93
132,2023-08-01,2,3,84085.81,20061.29
133,2023-08-01,3,1,52499.75,15488.26
134,2023-08-01,3,2,50251.61,14927.35
135,2023-08-01,3,3,28198.96,7034.97
136,2023-08-01,4,1,75868.81,23904.25
137,2023-08-01,4,2,35124.92,11199.92
138,2023-08-01,4,3,66663.07,13890.86
139,2023-08-01,5,1,115645.39,35663.11
140,2023-08-01,5,2,45039.81,14131.36
141,2023-08-01,5,3,67654.26,16064.7
142,2023-08-01,6,1,82594.45,23179.75
143,2023-08-01,6,2,20939.42,6055.37
144,2023-08-01,6,3,44446.3,11007.41
145,2023-09-01,1,1,141258.19,39994.29
146,2023-09-01,1,2,65638.74,20637.99
147,2023-09-01,1,3,121119.34,27688.94
148,2023-09-01,2,1,101453.8,30439.16
149,2023-09-01,2,2,51253.06,15193.79
150,2023-09-01,2,3,67684.78,17519.82
151,2023-09-01,3,1,86752.79,25416.82
152,2023-09-01,3,2,44559.47,13981.6
153,2023-09-01,3,3,41731.88,8938.17
154,2023-09-01,4,1,124477.57,37471.79
155,2023-09-01,4,2,50005.66,16509.56
156,2023-09-01,4,3,71111.36,17006.44
157,2023-09-01,5,1,153269.55,45519.42
158,2023-09-01,5,2,60713.76,19902.29
159,2023-09-01,5,3,48547.82,11567.7
160,2023-09-01,6,1,56097.71,16953.05
161,2023-09-01,6,2,40858.33,12733.0
162,2023-09-01,6,3,30890.15,5815.42
163,2023-10-01,1,1,120292.24,35517.49
164,2023-10-01,1,2,55028.75,15893.04
165,2023-10-01,1,3,104972.56,21799.36
166,2023-10-01,2,1,146940.03,46402.98
167,2023-10-01,2,2,55670.49,16377.12
168,2023-10-01,2,3,59651.36,13242.55
169,2023-10-01,3,1,124911.62,38521.69
170,2023-10-01,3,2,35325.7,10385.53
171,2023-10-01,3,3,49926.21,10336.19
172,2023-10-01,4,1,151905.73,45254.56
173,2023-10-01,4,2,58509.55,18842.71
174,2023-10-01,4,3,43464.77,10723.71
175,2023-10-01,5,1,157029.03,47495.14
176,2023-10-01,5,2,71259.98,23226.9
177,2023-10-01,5,3,79589.41,19294.53
178,2023-10-01,6,1,80583.92,24820.18
179,2023-10-01,6,2,36602.74,11376.32
180,2023-10-01,6,3,60394.17,14253.88
181,2023-11-01,1,1,98001.28,30725.3
182,2023-11-01,1,2,76061.84,22856.28
183,2023-11-01,1,3,150665.08,33416.42
184,2023-11-01,2,1,120535.73,35119.57
185,2023-11-01,2,2,84017.9,27273.64
186,2023-11-01,2,3,80569.23,19541.1
187,2023-11-01,3,1,69074.6,19334.6
188,2023-11-01,3,2,45934.17,14170.65
189,2023-11-01,3,3,53889.73,13028.46
190,2023-11-01,4,1,117452.91,35711.83
191,2023-11-01,4,2,60444.99,18388.81
192,2023-11-01,4,3,65981.66,16366.81
193,2023-11-01,5,1,136180.15,40388.09
194,2023-11-01,5,2,73401.95,22916.36
195,2023-11-01,5,3,104607.01,23912.22
196,2023-11-01,6,1,50957.46,14733.23
197,2023-11-01,6,2,41438.86,13125.23
198,2023-11-01,6,3,43547.47,10781.02
199,2023-12-01,1,1,152443.62,46963.56
200,2023-12-01,1,2,83368.31,26109.47
201,2023-12-01,1,3,105563.34,24942.08
202,2023-12-01,2,1,135308.5,41589.71
203,2023-12-01,2,2,90481.07,28459.72
204,2023-12-01,2,3,72831.93,17101.31
205,2023-12-01,3,1,77690.46,23667.61
206,2023-12-01,3,2,54095.17,16155.35
207,2023-12-01,3,3,35054.08,8837.88
208,2023-12-01,4,1,100120.15,31893.75
209,2023-12-01,4,2,73651.19,24153.9
210,2023-12-01,4,3,74444.27,18122.83
211,2023-12-01,5,1,119233.05,35149.92
212,2023-12-01,5,2,70353.88,22224.87
213,2023-12-01,5,3,113184.61,27346.23
214,2023-12-01,6,1,86953.7,25780.84
215,2023-12-01,6,2,38166.62,11412.9
216,2023-12-01,6,3,67977.42,17192.84
217,2024-01-01,1,1,128241.83,37737.28
218,2024-01-01,1,2,54105.61,16772.19
219,2024-01-01,1,3,81362.52,19954.49
220,2024-01-01,2,1,99397.24,29043.38
221,2024-01-01,2,2,29738.18,8928.17
222,2024-01-01,2,3,63849.4,15230.69
223,2024-01-01,3,1,84199.25,26378.15
224,2024-01-01,3,2,37104.74,11804.3
225,2024-01-01,3,3,35314.36,9233.06
226,2024-01-01,4,1,111188.81,34152.52
227,2024-01-01,4,2,40841.83,12271.81
228,2024-01-01,4,3,41204.39,10822.52
229,2024-01-01,5,1,61931.21,19721.66
230,2024-01-01,5,2,50242.37,16298.68
231,2024-01-01,5,3,92277.32,24317.6
232,2024-01-01,6,1,48456.75,14535.85
233,2024-01-01,6,2,34876.99,11151.81
234,2024-01-01,6,3,49924.83,12147.53
235,2024-02-01,1,1,149093.22,41475.38
236,2024-02-01,1,2,72384.03,22386.77
237,2024-02-01,1,3,60036.41,13248.34
238,2024-02-01,2,1,99826.41,31073.21
239,2024-02-01,2,2,59858.41,18022.62
240,2024-02-01,2,3,63586.75,14785.17
241,2024-02-01,3,1,66001.17,21770.85
242,2024-02-01,3,2,40160.91,12963.84
243,2024-02-01,3,3,62205.43,15894.54
244,2024-02-01,4,1,99817.71,31582.86
245,2024-02-01,4,2,44670.33,13829.01
246,2024-02-01,4,3,69987.05,18766.77
247,2024-02-01,5,1,170031.35,51738.24
248,2024-02-01,5,2,57640.85,18756.21
249,2024-02-01,5,3,68482.89,15836.75
250,2024-02-01,6,1,85539.64,26515.3
251,2024-02-01,6,2,36247.84,11431.39
252,2024-02-01,6,3,26578.65,6822.7
253,2024-03-01,1,1,131689.39,39582.88
254,2024-03-01,1,2,94324.33,29589.6
255,2024-03-01,1,3,104769.48,24361.71
256,2024-03-01,2,1,83076.72,25730.05
257,2024-03-01,2,2,64373.75,20592.8
258,2024-03-01,2,3,85289.97,19082.04
259,2024-03-01,3,1,95900.84,30233.15
260,2024-03-01,3,2,38183.53,12522.1
261,2024-03-01,3,3,77855.38,20075.45
262,2024-03-01,4,1,115279.81,34931.87
263,2024-03-01,4,2,55058.5,17911.69
264,2024-03-01,4,3,49517.88,12431.0
265,2024-03-01,5,1,134853.28,42557.64
266,2024-03-01,5,2,67799.05,22348.56
267,2024-03-01,5,3,93541.57,22830.64
268,2024-03-01,6,1,83663.16,26992.23
269,2024-03-01,6,2,46859.42,15961.84
270,2024-03-01,6,3,50167.35,12457.29
271,2024-04-01,1,1,197442.18,56005.43
272,2024-04-01,1,2,69233.0,21540.55
273,2024-04-01,1,3,92607.17,22358.06
274,2024-04-01,2,1,101053.96,32364.37
275,2024-04-01,2,2,67694.83,21831.48
276,2024-04-01,2,3,84206.97,19607.48
277,2024-04-01,3,1,111650.2,34911.5
278,2024-04-01,3,2,37812.2,12105.2
279,2024-04-01,3,3,81341.56,17198.29
280,2024-04-01,4,1,134594.78,43320.03
281,2024-04-01,4,2,52523.76,16323.11
282,2024-04-01,4,3,74665.59,19602.89
283,2024-04-01,5,1,155229.18,50286.92
284,2024-04-01,5,2,60740.65,19771.31
285,2024-04-01,5,3,90635.15,20718.97
286,2024-04-01,6,1,73958.11,23649.02
287,2024-04-01,6,2,39287.25,13149.63
288,2024-04-01,6,3,50064.46,13204.01
289,2024-05-01,1,1,127298.42,37643.65
290,2024-05-01,1,2,85889.79,26288.94
291,2024-05-01,1,3,100271.76,21621.04
292,2024-05-01,2,1,153932.33,48704.72
293,2024-05-01,2,2,58376.8,18162.91
294,2024-05-01,2,3,65137.13,17608.29
295,2024-05-01,3,1,106749.28,34830.33
296,2024-05-01,3,2,40823.13,12374.56
297,2024-05-01,3,3,57551.17,13995.46
298,2024-05-01,4,1,160119.69,49688.22
299,2024-05-01,4,2,38430.43,11760.11
300,2024-05-01,4,3,73554.41,17783.84
301,2024-05-01,5,1,109970.11,32980.54
302,2024-05-01,5,2,73834.73,24516.46
303,2024-05-01,5,3,87735.52,21720.91
304,2024-05-01,6,1,69818.66,22400.49
305,2024-05-01,6,2,54085.05,16977.33
306,2024-05-01,6,3,39760.53,10854.92
307,2024-06-01,1,1,170149.06,50858.7
308,2024-06-01,1,2,69658.79,20756.9
309,2024-06-01,1,3,94579.5,22043.36
310,2024-06-01,2,1,100055.94,30880.24
311,2024-06-01,2,2,62474.62,19904.58
312,2024-06-01,2,3,62105.61,14417.19
313,2024-06-01,3,1,97122.54,29868.08
314,2024-06-01,3,2,31597.55,10238.72
315,2024-06-01,3,3,57777.08,12368.68
316,2024-06-01,4,1,79735.81,26070.41
317,2024-06-01,4,2,59763.15,20498.74
318,2024-06-01,4,3,57785.78,13579.3
319,2024-06-01,5,1,128211.53,39596.71
320,2024-06-01,5,2,53919.43,17190.59
321,2024-06-01,5,3,68684.8,17125.1
322,2024-06-01,6,1,55915.15,17396.95
323,2024-06-01,6,2,40746.02,11400.44
324,2024-06-01,6,3,41211.95,9799.17
325,2024-07-01,1,1,151550.1,43575.59
326,2024-07-01,1,2,58523.26,17117.68
327,2024-07-01,1,3,68440.31,15498.8
328,2024-07-01,2,1,138717.97,45351.76
329,2024-07-01,2,2,49599.48,15236.89
330,2024-07-01,2,3,46329.76,12052.39
331,2024-07-01,3,1,77419.32,22962.7
332,2024-07-01,3,2,23437.96,7537.8
333,2024-07-01,3,3,57208.56,15227.12
334,2024-07-01,4,1,68765.27,21309.17
335,2024-07-01,4,2,39680.08,12412.17
336,2024-07-01,4,3,57160.26,14031.9
337,2024-07-01,5,1,88705.14,28369.59
338,2024-07-01,5,2,49586.64,14307.22
339,2024-07-01,5,3,48747.25,12093.87
340,2024-07-01,6,1,56211.08,17189.81
341,2024-07-01,6,2,16384.71,4905.62
342,2024-07-01,6,3,62068.21,15936.57
343,2024-08-01,1,1,134884.85,40079.6
344,2024-08-01,1,2,57820.48,18035.88
345,2024-08-01,1,3,97546.64,23750.35
346,2024-08-01,2,1,135663.99,43138.21
347,2024-08-01,2,2,44704.01,14530.08
348,2024-08-01,2,3,89365.52,21981.87
349,2024-08-01,3,1,56171.52,16806.38
350,2024-08-01,3,2,50581.35,15105.7
351,2024-08-01,3,3,28335.46,7081.88
352,2024-08-01,4,1,81313.39,26043.77
353,2024-08-01,4,2,36845.86,12048.89
354,2024-08-01,4,3,70381.96,15091.94
355,2024-08-01,5,1,125739.08,38698.45
356,2024-08-01,5,2,48266.31,15385.38
357,2024-08-01,5,3,68823.2,16707.62
358,2024-08-01,6,1,87639.16,25426.52
359,2024-08-01,6,2,22692.3,6642.9
360,2024-08-01,6,3,49282.63,12254.14
361,2024-09-01,1,1,149308.59,42642.61
362,2024-09-01,1,2,71089.94,22097.71
363,2024-09-01,1,3,124946.21,28825.29
364,2024-09-01,2,1,109150.57,33617.72
365,2024-09-01,2,2,55262.85,16708.26
366,2024-09-01,2,3,69253.94,17904.24
367,2024-09-01,3,1,92433.4,27425.89
368,2024-09-01,3,2,47006.45,15201.27
369,2024-09-01,3,3,43411.85,9600.51
370,2024-09-01,4,1,131806.01,40547.73
371,2024-09-01,4,2,53413.08,17546.63
372,2024-09-01,4,3,77662.81,19245.03
373,2024-09-01,5,1,163891.6,49712.04
374,2024-09-01,5,2,62547.3,20393.76
375,2024-09-01,5,3,51265.91,12333.29
376,2024-09-01,6,1,62546.61,18875.74
377,2024-09-01,6,2,45021.16,14157.81
378,2024-09-01,6,3,34517.9,6755.26
379,2024-10-01,1,1,125638.48,36944.21
380,2024-10-01,1,2,60375.07,17850.12
381,2024-10-01,1,3,112722.29,24386.22
382,2024-10-01,2,1,156041.88,48961.93
383,2024-10-01,2,2,57768.28,17413.69
384,2024-10-01,2,3,62392.48,14077.25
385,2024-10-01,3,1,130604.31,40377.58
386,2024-10-01,3,2,37398.02,11318.28
387,2024-10-01,3,3,49787.93,10595.32
388,2024-10-01,4,1,161354.73,49622.35
389,2024-10-01,4,2,60246.3,19825.98
390,2024-10-01,4,3,47091.15,11772.11
391,2024-10-01,5,1,169807.56,52412.71
392,2024-10-01,5,2,72836.76,23803.91
393,2024-10-01,5,3,84398.18,20553.64
394,2024-10-01,6,1,85026.91,26090.34
395,2024-10-01,6,2,40614.13,12755.86
396,2024-10-01,6,3,65673.13,15699.13
397,2024-11-01,1,1,101170.16,31472.36
398,2024-11-01,1,2,83887.41,25849.24
399,2024-11-01,1,3,154906.11,34945.57
400,2024-11-01,2,1,127092.17,37786.73
401,2024-11-01,2,2,86249.7,27987.39
402,2024-11-01,2,3,83048.36,20748.82
403,2024-11-01,3,1,73437.48,20606.21
404,2024-11-01,3,2,47214.36,14709.1
405,2024-11-01,3,3,57396.43,14021.69
406,2024-11-01,4,1,121355.35,37705.25
407,2024-11-01,4,2,65318.93,19986.89
408,2024-11-01,4,3,71413.82,18231.4
409,2024-11-01,5,1,147319.16,45009.73
410,2024-11-01,5,2,77729.65,24218.35
411,2024-11-01,5,3,106340.46,24980.5
412,2024-11-01,6,1,57234.73,16839.84
413,2024-11-01,6,2,45232.26,14633.42
414,2024-11-01,6,3,46589.83,11626.99
415,2024-12-01,1,1,157628.34,49314.87
416,2024-12-01,1,2,88714.72,27694.49
417,2024-12-01,1,3,109935.76,26739.66
418,2024-12-01,2,1,143995.05,44149.22
419,2024-12-01,2,2,97244.22,31195.02
420,2024-12-01,2,3,77801.75,18882.26
421,2024-12-01,3,1,78798.94,24191.33
422,2024-12-01,3,2,57499.61,17731.18
423,2024-12-01,3,3,36373.23,9388.35
424,2024-12-01,4,1,108636.08,35385.18
425,2024-12-01,4,2,80479.15,26410.54
426,2024-12-01,4,3,80729.66,20352.9
427,2024-12-01,5,1,122605.81,36270.04
428,2024-12-01,5,2,72280.24,22807.13
429,2024-12-01,5,3,116082.01,28362.98
430,2024-12-01,6,1,96022.14,28806.07
431,2024-12-01,6,2,42001.43,12778.47
432,2024-12-01,6,3,71750.16,18327.32
433,2025-01-01,1,1,93487.51,29378.26
434,2025-01-01,1,2,77024.78,23146.62
435,2025-01-01,1,3,81804.3,19349.23
436,2025-01-01,2,1,140013.58,39939.87
437,2025-01-01,2,2,45896.8,14386.45
438,2025-01-01,2,3,64764.66,17017.28
439,2025-01-01,3,1,77838.36,23146.73
440,2025-01-01,3,2,32052.3,9891.82
441,2025-01-01,3,3,38449.71,9456.21
442,2025-01-01,4,1,79885.77,24169.75
443,2025-01-01,4,2,44837.07,14368.25
444,2025-01-01,4,3,51949.22,13286.62
445,2025-01-01,5,1,108381.88,30573.41
446,2025-01-01,5,2,60210.92,18131.9
447,2025-01-01,5,3,72033.58,16975.71
448,2025-01-01,6,1,94082.89,28672.57
449,2025-01-01,6,2,38889.86,12683.99
450,2025-01-01,6,3,40702.62,9424.96
451,2025-02-01,1,1,192716.75,57602.25
452,2025-02-01,1,2,73409.24,21945.68
453,2025-02-01,1,3,82302.37,19526.28
454,2025-02-01,2,1,114778.5,34617.86
455,2025-02-01,2,2,56063.1,18455.47
456,2025-02-01,2,3,87305.02,21602.36
457,2025-02-01,3,1,67646.84,20973.16
458,2025-02-01,3,2,45366.32,14318.99
459,2025-02-01,3,3,38473.35,8098.85
460,2025-02-01,4,1,88804.0,27340.68
461,2025-02-01,4,2,55596.28,17524.87
462,2025-02-01,4,3,68376.68,15304.68
463,2025-02-01,5,1,151692.96,45342.5
464,2025-02-01,5,2,63670.79,20845.82
465,2025-02-01,5,3,77180.51,19362.25
466,2025-02-01,6,1,89970.16,29123.44
467,2025-02-01,6,2,32592.12,8700.76
468,2025-02-01,6,3,52563.78,13569.82
469,2025-03-01,1,1,191738.91,56520.25
470,2025-03-01,1,2,85657.83,25096.3
471,2025-03-01,1,3,155172.12,34645.65
472,2025-03-01,2,1,142096.52,44753.08
473,2025-03-01,2,2,74603.93,24068.44
474,2025-03-01,2,3,80858.73,19730.97
475,2025-03-01,3,1,75199.61,23830.46
476,2025-03-01,3,2,58837.76,17785.34
477,2025-03-01,3,3,72533.29,17476.69
478,2025-03-01,4,1,85258.95,27499.78
479,2025-03-01,4,2,73098.66,23391.75
480,2025-03-01,4,3,67163.01,15710.44
481,2025-03-01,5,1,151186.47,44062.75
482,2025-03-01,5,2,85458.95,27136.73
483,2025-03-01,5,3,91295.11,21393.9
484,2025-03-01,6,1,91347.7,27708.28
485,2025-03-01,6,2,55822.76,17529.47
486,2025-03-01,6,3,49515.08,11226.97
487,2025-04-01,1,1,158936.25,46098.16
488,2025-04-01,1,2,94709.67,28334.03
489,2025-04-01,1,3,114401.41,24056.71
490,2025-04-01,2,1,141772.26,44805.98
491,2025-04-01,2,2,85273.02,27915.42
492,2025-04-01,2,3,73714.51,19156.14
493,2025-04-01,3,1,84658.12,25105.93
494,2025-04-01,3,2,43836.87,13897.94
495,2025-04-01,3,3,42940.3,9743.37
496,2025-04-01,4,1,137842.3,38946.64
497,2025-04-01,4,2,59889.24,18370.62
498,2025-04-01,4,3,69516.03,15481.38
499,2025-04-01,5,1,187850.89,58435.22
500,2025-04-01,5,2,48304.22,14294.34
501,2025-04-01,5,3,137126.81,32828.39
502,2025-04-01,6,1,93869.42,27040.07
503,2025-04-01,6,2,38920.26,11724.35
504,2025-04-01,6,3,55617.88,12628.22
505,2025-05-01,1,1,184648.82,54894.99
506,2025-05-01,1,2,64053.22,18902.06
507,2025-05-01,1,3,116177.8,24558.54
508,2025-05-01,2,1,121754.72,35010.14
509,2025-05-01,2,2,63112.42,18872.9
510,2025-05-01,2,3,79576.15,19031.27
511,2025-05-01,3,1,131431.76,42161.89
512,2025-05-01,3,2,59045.99,18576.85
513,2025-05-01,3,3,50665.72,12975.96
514,2025-05-01,4,1,119422.88,36634.41
515,2025-05-01,4,2,43285.13,12720.59
516,2025-05-01,4,3,69450.03,17259.33
517,2025-05-01,5,1,159265.13,46527.68
518,2025-05-01,5,2,57707.17,17416.5
519,2025-05-01,5,3,69397.88,17764.62
520,2025-05-01,6,1,63640.61,19896.76
521,2025-05-01,6,2,38265.68,10876.54
522,2025-05-01,6,3,77628.74,17950.87
523,2025-06-01,1,1,193223.4,56680.44
524,2025-06-01,1,2,80191.02,24206.85
525,2025-06-01,1,3,121436.28,28031.11
526,2025-06-01,2,1,132841.29,38962.74
527,2025-06-01,2,2,52329.67,16107.78
528,2025-06-01,2,3,109562.13,28348.18
529,2025-06-01,3,1,89815.74,26418.36
530,2025-06-01,3,2,34984.69,10704.4
531,2025-06-01,3,3,44052.59,11273.41
532,2025-06-01,4,1,113545.61,36557.29
533,2025-06-01,4,2,54006.56,17130.42
534,2025-06-01,4,3,97824.87,25297.34
535,2025-06-01,5,1,95888.89,28146.28
536,2025-06-01,5,2,82979.84,25672.12
537,2025-06-01,5,3,85640.48,19311.65
538,2025-06-01,6,1,91934.8,28540.86
539,2025-06-01,6,2,27436.26,8354.67
540,2025-06-01,6,3,48535.17,11270.3
541,2025-07-01,1,1,143734.96,44131.67
542,2025-07-01,1,2,64212.54,18463.12
543,2025-07-01,1,3,82288.28,19636.94
544,2025-07-01,2,1,106279.93,29882.89
545,2025-07-01,2,2,48038.22,14631.66
546,2025-07-01,2,3,89242.2,20981.25
547,2025-07-01,3,1,87223.62,28232.59
548,2025-07-01,3,2,45701.3,14753.09
549,2025-07-01,3,3,66590.02,16785.62
550,2025-07-01,4,1,121431.72,34343.34
551,2025-07-01,4,2,41895.04,12327.9
552,2025-07-01,4,3,77442.98,19363.89
553,2025-07-01,5,1,154990.13,48998.12
554,2025-07-01,5,2,74091.42,23318.79
555,2025-07-01,5,3,61167.01,12898.95
556,2025-07-01,6,1,79717.68,24905.52
557,2025-07-01,6,2,34360.05,11400.09
558,2025-07-01,6,3,33657.47,8255.35
559,2025-08-01,1,1,180456.38,54221.32
560,2025-08-01,1,2,59609.59,16847.42
561,2025-08-01,1,3,100480.86,22034.04
562,2025-08-01,2,1,118870.73,35433.99
563,2025-08-01,2,2,55771.08,17699.44
564,2025-08-01,2,3,77656.54,19106.14
565,2025-08-01,3,1,73240.79,20856.3
566,2025-08-01,3,2,41270.43,12623.18
567,2025-08-01,3,3,59523.95,13906.82
568,2025-08-01,4,1,92979.54,27300.13
569,2025-08-01,4,2,60494.54,20364.03
570,2025-08-01,4,3,52076.22,13014.78
571,2025-08-01,5,1,91726.6,28241.33
572,2025-08-01,5,2,45903.39,14525.93
573,2025-08-01,5,3,103294.37,27876.68
574,2025-08-01,6,1,48999.26,14626.34
575,2025-08-01,6,2,41249.22,13183.11
576,2025-08-01,6,3,56427.67,12156.04
577,2025-09-01,1,1,244861.96,66987.31
578,2025-09-01,1,2,83583.28,25166.32
579,2025-09-01,1,3,103823.74,22707.02
580,2025-09-01,2,1,125772.2,37279.1
581,2025-09-01,2,2,75501.95,24377.14
582,2025-09-01,2,3,65081.68,15989.15
583,2025-09-01,3,1,83201.06,25902.99
584,2025-09-01,3,2,41110.3,12596.3
585,2025-09-01,3,3,87996.39,23072.49
586,2025-09-01,4,1,105146.29,33847.8
587,2025-09-01,4,2,69228.27,22389.33
588,2025-09-01,4,3,69343.18,14671.26
589,2025-09-01,5,1,152758.73,47783.59
590,2025-09-01,5,2,60794.37,19660.74
591,2025-09-01,5,3,94089.65,21007.67
592,2025-09-01,6,1,99222.82,31902.23
593,2025-09-01,6,2,49996.06,16292.61
594,2025-09-01,6,3,41565.5,10291.92
595,2025-10-01,1,1,225942.15,62340.95
596,2025-10-01,1,2,81666.17,24217.4
597,2025-10-01,1,3,94213.32,18716.72
598,2025-10-01,2,1,121899.93,36437.32
599,2025-10-01,2,2,60144.65,19529.43
600,2025-10-01,2,3,98907.44,23593.19
601,2025-10-01,3,1,125600.22,38306.1
602,2025-10-01,3,2,45573.49,14498.84
603,2025-10-01,3,3,53091.35,14092.83
604,2025-10-01,4,1,133752.23,40975.95
605,2025-10-01,4,2,53943.72,17533.52
