CustomerKey,CustomerID,CustomerName,CustomerSegment,RegionKey,CustomerSince,Industry
37,CUST-0037,Apex Customer 0037,Mid-Market,5,2022-02-03,Hospitality
38,CUST-0038,Apex Customer 0038,Enterprise,2,2023-12-16,Hospitality
39,CUST-0039,Apex Customer 0039,Mid-Market,4,2021-11-03,Retail
40,CUST-0040,Apex Customer 0040,SME,4,2023-12-12,Construction
41,CUST-0041,Apex Customer 0041,SME,1,2019-02-10,Education
42,CUST-0042,Apex Customer 0042,Mid-Market,5,2023-12-21,Professional Services
43,CUST-0043,Apex Customer 0043,SME,5,2020-05-02,Construction
44,CUST-0044,Apex Customer 0044,SME,2,2020-04-22,Healthcare
45,CUST-0045,Apex Customer 0045,SME,1,2022-08-05,Manufacturing
46,CUST-0046,Apex Customer 0046,SME,4,2023-12-08,Construction
47,CUST-0047,Apex Customer 0047,SME,2,2020-11-28,Healthcare
48,CUST-0048,Apex Customer 0048,SME,1,2022-01-01,Construction
49,CUST-0049,Apex Customer 0049,SME,1,2021-05-23,Hospitality
50,CUST-0050,Apex Customer 0050,SME,3,2022-10-21,Construction
51,CUST-0051,Apex Customer 0051,Enterprise,6,2022-07-14,Education
52,CUST-0052,Apex Customer 0052,Mid-Market,3,2023-08-26,Education
53,CUST-0053,Apex Customer 0053,SME,6,2020-08-10,Hospitality
54,CUST-0054,Apex Customer 0054,SME,3,2022-04-27,Healthcare
55,CUST-0055,Apex Customer 0055,Mid-Market,3,2020-02-01,Construction
56,CUST-0056,Apex Customer 0056,SME,6,2021-06-16,Retail
57,CUST-0057,Apex Customer 0057,SME,5,2023-06-01,Professional Services
58,CUST-0058,Apex Customer 0058,Mid-Market,2,2019-06-21,Retail
59,CUST-0059,Apex Customer 0059,Mid-Market,1,2020-10-15,Manufacturing
60,CUST-0060,Apex Customer 0060,Enterprise,2,2019-06-18,Professional Services
61,CUST-0061,Apex Customer 0061,SME,1,2022-09-03,Education
62,CUST-0062,Apex Customer 0062,Enterprise,2,2023-04-07,Manufacturing
63,CUST-0063,Apex Customer 0063,SME,1,2022-02-09,Manufacturing
64,CUST-0064,Apex Customer 0064,SME,1,2021-03-13,Manufacturing
65,CUST-0065,Apex Customer 0065,SME,3,2021-07-10,Manufacturing
66,CUST-0066,Apex Customer 0066,SME,6,2023-08-10,Professional Services
67,CUST-0067,Apex Customer 0067,SME,1,2020-03-06,Healthcare
68,CUST-0068,Apex Customer 0068,SME,6,2022-02-19,Healthcare
69,CUST-0069,Apex Customer 0069,Mid-Market,1,2021-03-28,Construction
70,CUST-0070,Apex Customer 0070,SME,2,2021-08-07,Healthcare
71,CUST-0071,Apex Customer 0071,SME,1,2021-04-21,Retail
72,CUST-0072,Apex Customer 0072,Enterprise,1,2022-01-02,Healthcare
73,CUST-0073,Apex Customer 0073,SME,2,2020-09-12,Manufacturing
74,CUST-0074,Apex Customer 0074,SME,1,2022-06-20,Healthcare
75,CUST-0075,Apex Customer 0075,Enterprise,5,2020-09-05,Professional Services
76,CUST-0076,Apex Customer 0076,Mid-Market,3,2023-01-14,Manufacturing
77,CUST-0077,Apex Customer 0077,Enterprise,1,2020-01-11,Education
78,CUST-0078,Apex Customer 0078,Enterprise,1,2022-03-20,Hospitality
79,CUST-0079,Apex Customer 0079,Mid-Market,1,2021-11-02,Education
80,CUST-0080,Apex Customer 0080,Mid-Market,5,2020-04-25,Retail
81,CUST-0081,Apex Customer 0081,SME,4,2021-01-04,Retail
82,CUST-0082,Apex Customer 0082,SME,4,2023-05-17,Construction
83,CUST-0083,Apex Customer 0083,SME,1,2022-12-07,Healthcare
84,CUST-0084,Apex Customer 0084,Enterprise,5,2023-03-25,Manufacturing
85,CUST-0085,Apex Customer 0085,Mid-Market,1,2023-04-05,Construction
86,CUST-0086,Apex Customer 0086,SME,2,2022-09-21,Professional Services
87,CUST-0087,Apex Customer 0087,Enterprise,3,2021-05-22,Construction
88,CUST-0088,Apex Customer 0088,SME,1,2022-11-04,Professional Services
89,CUST-0089,Apex Customer 0089,SME,2,2019-10-28,Construction
90,CUST-0090,Apex Customer 0090,SME,4,2021-09-26,Manufacturing
91,CUST-0091,Apex Customer 0091,SME,2,2022-12-24,Retail
92,CUST-0092,Apex Customer 0092,SME,6,2022-03-14,Professional Services
93,CUST-0093,Apex Customer 0093,Mid-Market,2,2022-10-13,Professional Services
94,CUST-0094,Apex Customer 0094,SME,4,2023-01-06,Retail
95,CUST-0095,Apex Customer 0095,SME,1,2021-12-24,Education
96,CUST-0096,Apex Customer 0096,Enterprise,1,2022-01-02,Retail
97,CUST-0097,Apex Customer 0097,Mid-Market,3,2020-07-22,Retail
98,CUST-0098,Apex Customer 0098,Mid-Market,2,2021-11-25,Retail
99,CUST-0099,Apex Customer 0099,SME,4,2021-11-20,Retail
100,CUST-0100,Apex Customer 0100,Enterprise,6,2020-05-07,Construction
101,CUST-0101,Apex Customer 0101,SME,4,2020-04-02,Construction
102,CUST-0102,Apex Customer 0102,SME,6,2022-12-03,Healthcare
103,CUST-0103,Apex Customer 0103,Mid-Market,4,2022-12-01,Retail
104,CUST-0104,Apex Customer 0104,Mid-Market,2,2019-07-22,Retail
105,CUST-0105,Apex Customer 0105,SME,3,2023-09-05,Construction
106,CUST-0106,Apex Customer 0106,SME,1,2022-06-01,Healthcare
107,CUST-0107,Apex Customer 0107,SME,5,2023-11-05,Education
108,CUST-0108,Apex Customer 0108,Mid-Market,1,2022-09-02,Professional Services
109,CUST-0109,Apex Customer 0109,Enterprise,4,2020-08-01,Professional Services
110,CUST-0110,Apex Customer 0110,SME,4,2021-07-01,Retail
111,CUST-0111,Apex Customer 0111,Enterprise,2,2020-04-05,Education
112,CUST-0112,Apex Customer 0112,Mid-Market,3,2021-01-09,Hospitality
113,CUST-0113,Apex Customer 0113,Mid-Market,1,2020-11-13,Retail
114,CUST-0114,Apex Customer 0114,SME,6,2022-10-06,Hospitality
115,CUST-0115,Apex Customer 0115,SME,1,2019-03-19,Education
116,CUST-0116,Apex Customer 0116,SME,5,2022-04-02,Construction
117,CUST-0117,Apex Customer 0117,Mid-Market,4,2019-11-07,Retail
118,CUST-0118,Apex Customer 0118,SME,5,2022-03-01,Hospitality
119,CUST-0119,Apex Customer 0119,SME,1,2022-01-05,Hospitality
120,CUST-0120,Apex Customer 0120,SME,6,2021-03-20,Healthcare
121,CUST-0121,Apex Customer 0121,SME,5,2022-03-07,Hospitality
122,CUST-0122,Apex Customer 0122,SME,6,2021-09-10,Hospitality
123,CUST-0123,Apex Customer 0123,SME,1,2020-12-12,Professional Services
124,CUST-0124,Apex Customer 0124,Enterprise,3,2023-11-14,Retail
125,CUST-0125,Apex Customer 0125,SME,5,2021-09-11,Healthcare
126,CUST-0126,Apex Customer 0126,SME,5,2021-04-17,Retail
127,CUST-0127,Apex Customer 0127,SME,6,2022-02-28,Healthcare
128,CUST-0128,Apex Customer 0128,Enterprise,1,2023-09-05,Professional Services
129,CUST-0129,Apex Customer 0129,SME,2,2021-04-16,Hospitality
130,CUST-0130,Apex Customer 0130,Mid-Market,5,2023-10-14,Education
131,CUST-0131,Apex Customer 0131,Mid-Market,1,2020-11-17,Healthcare
132,CUST-0132,Apex Customer 0132,Mid-Market,2,2023-10-07,Education
133,CUST-0133,Apex Customer 0133,SME,4,2022-03-07,Hospitality
134,CUST-0134,Apex Customer 0134,SME,4,2022-09-17,Hospitality
135,CUST-0135,Apex Customer 0135,SME,2,2023-01-06,Professional Services
136,CUST-0136,Apex Customer 0136,SME,1,2019-03-05,Hospitality
137,CUST-0137,Apex Customer 0137,Mid-Market,4,2022-07-25,Construction
138,CUST-0138,Apex Customer 0138,SME,2,2022-12-16,Education
139,CUST-0139,Apex Customer 0139,SME,3,2021-02-12,Education
140,CUST-0140,Apex Customer 0140,SME,3,2021-09-08,Retail
141,CUST-0141,Apex Customer 0141,SME,1,2021-11-01,Construction
142,CUST-0142,Apex Customer 0142,Mid-Market,1,2019-11-13,Professional Services
143,CUST-0143,Apex Customer 0143,Mid-Market,6,2020-06-23,Construction
144,CUST-0144,Apex Customer 0144,Mid-Market,6,2020-03-11,Healthcare
145,CUST-0145,Apex Customer 0145,Mid-Market,3,2022-11-28,Retail
146,CUST-0146,Apex Customer 0146,Mid-Market,6,2019-06-14,Education
147,CUST-0147,Apex Customer 0147,SME,1,2023-06-21,Construction
148,CUST-0148,Apex Customer 0148,Mid-Market,2,2023-08-28,Manufacturing
149,CUST-0149,Apex Customer 0149,SME,4,2019-05-14,Construction
150,CUST-0150,Apex Customer 0150,Mid-Market,5,2022-09-22,Retail
151,CUST-0151,Apex Customer 0151,SME,4,2022-04-22,Construction
152,CUST-0152,Apex Customer 0152,Mid-Market,5,2022-02-03,Construction
153,CUST-0153,Apex Customer 0153,SME,2,2022-01-11,Education
154,CUST-0154,Apex Customer 0154,Mid-Market,1,2022-09-05,Hospitality
155,CUST-0155,Apex Customer 0155,SME,1,2023-06-14,Education
156,CUST-0156,Apex Customer 0156,Mid-Market,2,2023-02-19,Professional Services
157,CUST-0157,Apex Customer 0157,Mid-Market,3,2022-07-20,Construction
158,CUST-0158,Apex Customer 0158,SME,3,2021-09-17,Manufacturing
159,CUST-0159,Apex Customer 0159,SME,1,2021-12-02,Manufacturing
160,CUST-0160,Apex Customer 0160,SME,5,2023-06-04,Healthcare
161,CUST-0161,Apex Customer 0161,SME,6,2021-06-25,Hospitality
162,CUST-0162,Apex Customer 0162,SME,1,2023-11-20,Education
163,CUST-0163,Apex Customer 0163,SME,2,2023-01-06,Construction
164,CUST-0164,Apex Customer 0164,SME,4,2019-05-28,Education
165,CUST-0165,Apex Customer 0165,SME,3,2022-05-07,Retail
166,CUST-0166,Apex Customer 0166,SME,1,2020-03-10,Hospitality
167,CUST-0167,Apex Customer 0167,SME,3,2023-04-08,Retail
168,CUST-0168,Apex Customer 0168,SME,6,2022-07-16,Hospitality
169,CUST-0169,Apex Customer 0169,Mid-Market,5,2020-07-28,Education
170,CUST-0170,Apex Customer 0170,SME,3,2020-09-02,Professional Services
171,CUST-0171,Apex Customer 0171,SME,4,2020-02-24,Construction
172,CUST-0172,Apex Customer 0172,Mid-Market,5,2019-11-09,Construction
173,CUST-0173,Apex Customer 0173,SME,6,2022-08-03,Construction
174,CUST-0174,Apex Customer 0174,SME,3,2020-03-10,Hospitality
175,CUST-0175,Apex Customer 0175,SME,1,2023-10-09,Hospitality
176,CUST-0176,Apex Customer 0176,SME,6,2021-07-02,Healthcare
177,CUST-0177,Apex Customer 0177,Mid-Market,1,2022-08-01,Education
178,CUST-0178,Apex Customer 0178,SME,5,2023-01-21,Professional Services
179,CUST-0179,Apex Customer 0179,SME,5,2021-10-17,Healthcare
180,CUST-0180,Apex Customer 0180,Mid-Market,1,2021-08-13,Healthcare
181,CUST-0181,Apex Customer 0181,Mid-Market,4,2020-10-21,Manufacturing
182,CUST-0182,Apex Customer 0182,SME,2,2020-02-26,Hospitality
183,CUST-0183,Apex Customer 0183,Mid-Market,4,2023-09-21,Healthcare
184,CUST-0184,Apex Customer 0184,Mid-Market,4,2020-03-21,Hospitality
185,CUST-0185,Apex Customer 0185,SME,2,2023-01-13,Professional Services
186,CUST-0186,Apex Customer 0186,SME,4,2023-11-13,Professional Services
187,CUST-0187,Apex Customer 0187,SME,5,2020-09-05,Manufacturing
188,CUST-0188,Apex Customer 0188,SME,5,2021-03-14,Professional Services
189,CUST-0189,Apex Customer 0189,SME,5,2020-07-06,Professional Services
190,CUST-0190,Apex Customer 0190,Mid-Market,1,2022-03-22,Manufacturing
191,CUST-0191,Apex Customer 0191,Enterprise,2,2021-03-27,Retail
192,CUST-0192,Apex Customer 0192,SME,5,2020-05-26,Hospitality
193,CUST-0193,Apex Customer 0193,SME,4,2023-04-19,Manufacturing
194,CUST-0194,Apex Customer 0194,SME,2,2020-12-01,Manufacturing
195,CUST-0195,Apex Customer 0195,SME,4,2022-12-17,Construction
196,CUST-0196,Apex Customer 0196,Mid-Market,1,2020-03-17,Manufacturing
197,CUST-0197,Apex Customer 0197,SME,2,2023-04-08,Retail
198,CUST-0198,Apex Customer 0198,SME,3,2020-07-14,Hospitality
199,CUST-0199,Apex Customer 0199,SME,4,2021-02-21,Education
200,CUST-0200,Apex Customer 0200,SME,5,2021-06-20,Professional Services
201,CUST-0201,Apex Customer 0201,SME,1,2019-02-13,Professional Services
202,CUST-0202,Apex Customer 0202,SME,4,2021-06-03,Retail
203,CUST-0203,Apex Customer 0203,Enterprise,3,2022-12-08,Healthcare
204,CUST-0204,Apex Customer 0204,SME,2,2022-07-05,Manufacturing
205,CUST-0205,Apex Customer 0205,SME,1,2022-04-14,Manufacturing
206,CUST-0206,Apex Customer 0206,SME,1,2023-11-11,Construction
207,CUST-0207,Apex Customer 0207,SME,4,2020-09-01,Professional Services
208,CUST-0208,Apex Customer 0208,Mid-Market,5,2022-11-21,Hospitality
209,CUST-0209,Apex Customer 0209,SME,2,2022-06-25,Professional Services
210,CUST-0210,Apex Customer 0210,SME,5,2021-10-07,Retail
211,CUST-0211,Apex Customer 0211,SME,2,2022-09-26,Retail
212,CUST-0212,Apex Customer 0212,SME,2,2022-09-17,Hospitality
213,CUST-0213,Apex Customer 0213,SME,5,2022-09-05,Manufacturing
214,CUST-0214,Apex Customer 0214,SME,1,2020-11-02,Healthcare
215,CUST-0215,Apex Customer 0215,Mid-Market,1,2022-03-13,Construction
216,CUST-0216,Apex Customer 0216,SME,5,2022-09-01,Professional Services
217,CUST-0217,Apex Customer 0217,SME,4,2021-02-23,Professional Services
218,CUST-0218,Apex Customer 0218,SME,6,2021-04-18,Education
219,CUST-0219,Apex Customer 0219,SME,4,2021-05-23,Education
220,CUST-0220,Apex Customer 0220,SME,5,2022-03-25,Education
221,CUST-0221,Apex Customer 0221,Mid-Market,3,2020-04-11,Hospitality
222,CUST-0222,Apex Customer 0222,Mid-Market,1,2023-05-24,Healthcare
223,CUST-0223,Apex Customer 0223,Mid-Market,1,2021-02-07,Manufacturing
224,CUST-0224,Apex Customer 0224,SME,3,2023-09-13,Construction
225,CUST-0225,Apex Customer 0225,SME,4,2023-07-27,Hospitality
226,CUST-0226,Apex Customer 0226,SME,2,2022-03-22,Retail
227,CUST-0227,Apex Customer 0227,SME,5,2023-03-18,Manufacturing
228,CUST-0228,Apex Customer 0228,Mid-Market,2,2023-02-06,Education
229,CUST-0229,Apex Customer 0229,Mid-Market,3,2022-07-09,Retail
230,CUST-0230,Apex Customer 0230,SME,1,2022-01-27,Education
231,CUST-0231,Apex Customer 0231,Mid-Market,5,2019-11-07,Education
232,CUST-0232,Apex Customer 0232,SME,1,2022-11-16,Hospitality
233,CUST-0233,Apex Customer 0233,SME,2,2022-02-03,Education
234,CUST-0234,Apex Customer 0234,SME,3,2021-10-11,Hospitality
235,CUST-0235,Apex Customer 0235,Mid-Market,6,2023-02-02,Healthcare
236,CUST-0236,Apex Customer 0236,SME,1,2022-02-13,Healthcare
237,CUST-0237,Apex Customer 0237,Mid-Market,4,2022-05-08,Professional Services
238,CUST-0238,Apex Customer 0238,SME,1,2020-08-11,Hospitality
239,CUST-0239,Apex Customer 0239,SME,6,2021-05-11,Manufacturing
240,CUST-0240,Apex Customer 0240,SME,1,2019-09-23,Education
241,CUST-0241,Apex Customer 0241,Mid-Market,4,2023-07-14,Professional Services
242,CUST-0242,Apex Customer 0242,SME,2,2019-03-06,Construction
243,CUST-0243,Apex Customer 0243,SME,1,2020-02-11,Construction
244,CUST-0244,Apex Customer 0244,Mid-Market,6,2021-05-13,Retail
245,CUST-0245,Apex Customer 0245,SME,1,2022-12-27,Education
246,CUST-0246,Apex Customer 0246,Enterprise,5,2023-04-04,Healthcare
247,CUST-0247,Apex Customer 0247,Mid-Market,5,2021-07-16,Healthcare
248,CUST-0248,Apex Customer 0248,SME,6,2023-10-25,Hospitality
249,CUST-0249,Apex Customer 0249,Mid-Market,5,2023-07-21,Hospitality
250,CUST-0250,Apex Customer 0250,SME,5,2021-07-03,Education
251,CUST-0251,Apex Customer 0251,SME,1,2023-04-08,Hospitality
252,CUST-0252,Apex Customer 0252,SME,3,2021-08-17,Retail
253,CUST-0253,Apex Customer 0253,SME,4,2021-03-20,Retail
254,CUST-0254,Apex Customer 0254,Enterprise,3,2020-08-04,Manufacturing
255,CUST-0255,Apex Customer 0255,SME,5,2020-11-06,Hospitality
256,CUST-0256,Apex Customer 0256,Mid-Market,6,2022-06-26,Hospitality
257,CUST-0257,Apex Customer 0257,Enterprise,1,2023-03-11,Retail
258,CUST-0258,Apex Customer 0258,SME,1,2022-11-04,Manufacturing
259,CUST-0259,Apex Customer 0259,SME,1,2020-10-05,Hospitality
260,CUST-0260,Apex Customer 0260,SME,4,2019-01-14,Hospitality
261,CUST-0261,Apex Customer 0261,SME,4,2023-09-16,Construction
262,CUST-0262,Apex Customer 0262,Enterprise,1,2019-02-25,Hospitality
263,CUST-0263,Apex Customer 0263,SME,1,2019-11-03,Professional Services
264,CUST-0264,Apex Customer 0264,SME,1,2021-07-13,Construction
265,CUST-0265,Apex Customer 0265,SME,5,2022-04-08,Professional Services
266,CUST-0266,Apex Customer 0266,SME,5,2021-09-24,Retail
267,CUST-0267,Apex Customer 0267,Mid-Market,6,2021-03-10,Retail
268,CUST-0268,Apex Customer 0268,Mid-Market,5,2023-04-08,Retail
269,CUST-0269,Apex Customer 0269,Mid-Market,5,2023-07-26,Education
270,CUST-0270,Apex Customer 0270,Mid-Market,3,2020-04-07,Education
271,CUST-0271,Apex Customer 0271,Mid-Market,3,2022-10-12,Retail
272,CUST-0272,Apex Customer 0272,SME,3,2019-12-09,Healthcare
273,CUST-0273,Apex Customer 0273,SME,5,2023-06-04,Construction
274,CUST-0274,Apex Customer 0274,SME,4,2022-08-14,Retail
275,CUST-0275,Apex Customer 0275,Enterprise,1,2021-05-18,Professional Services
276,CUST-0276,Apex Customer 0276,Enterprise,5,2023-12-01,Construction
277,CUST-0277,Apex Customer 0277,Enterprise,2,2022-10-11,Professional Services
278,CUST-0278,Apex Customer 0278,SME,1,2019-01-08,Hospitality
279,CUST-0279,Apex Customer 0279,SME,5,2023-08-27,Education
280,CUST-0280,Apex Customer 0280,Mid-Market,3,2023-06-27,Professional Services
281,CUST-0281,Apex Customer 0281,SME,1,2019-05-14,Professional Services
282,CUST-0282,Apex Customer 0282,SME,1,2021-09-18,Education
283,CUST-0283,Apex Customer 0283,Mid-Market,3,2023-10-07,Professional Services
284,CUST-0284,Apex Customer 0284,SME,2,2022-04-27,Construction
285,CUST-0285,Apex Customer 0285,SME,1,2022-08-11,Manufacturing
286,CUST-0286,Apex Customer 0286,Mid-Market,1,2021-10-27,Healthcare
287,CUST-0287,Apex Customer 0287,SME,2,2022-05-25,Manufacturing
288,CUST-0288,Apex Customer 0288,SME,2,2021-06-20,Construction
289,CUST-0289,Apex Customer 0289,SME,5,2022-05-16,Professional Services
290,CUST-0290,Apex Customer 0290,Mid-Market,1,2023-12-21,Hospitality
291,CUST-0291,Apex Customer 0291,Mid-Market,5,2022-05-21,Healthcare
292,CUST-0292,Apex Customer 0292,SME,2,2020-07-16,Professional Services
293,CUST-0293,Apex Customer 0293,Mid-Market,5,2020-11-15,Hospitality
294,CUST-0294,Apex Customer 0294,SME,4,2021-08-28,Healthcare
295,CUST-0295,Apex Customer 0295,SME,1,2019-02-09,Retail
296,CUST-0296,Apex Customer 0296,SME,5,2022-12-17,Construction
297,CUST-0297,Apex Customer 0297,Mid-Market,2,2019-12-15,Retail
298,CUST-0298,Apex Customer 0298,Enterprise,5,2023-07-25,Education
299,CUST-0299,Apex Customer 0299,SME,1,2019-12-20,Retail
300,CUST-0300,Apex Customer 0300,SME,6,2019-12-24,Hospitality
301,CUST-0301,Apex Customer 0301,SME,4,2020-01-19,Construction
302,CUST-0302,Apex Customer 0302,SME,1,2023-03-12,Hospitality
303,CUST-0303,Apex Customer 0303,SME,1,2021-11-15,Professional Services
304,CUST-0304,Apex Customer 0304,Enterprise,4,2020-05-19,Retail
305,CUST-0305,Apex Customer 0305,Enterprise,5,2023-03-18,Retail
306,CUST-0306,Apex Customer 0306,SME,1,2022-10-15,Construction
307,CUST-0307,Apex Customer 0307,SME,1,2023-10-11,Professional Services
308,CUST-0308,Apex Customer 0308,Enterprise,6,2023-12-03,Retail
309,CUST-0309,Apex Customer 0309,SME,3,2023-02-19,Construction
310,CUST-0310,Apex Customer 0310,SME,4,2022-08-06,Construction
311,CUST-0311,Apex Customer 0311,SME,5,2021-04-24,Manufacturing
312,CUST-0312,Apex Customer 0312,Mid-Market,5,2020-08-10,Construction
313,CUST-0313,Apex Customer 0313,SME,1,2022-07-27,Retail
314,CUST-0314,Apex Customer 0314,Mid-Market,6,2020-05-26,Construction
315,CUST-0315,Apex Customer 0315,Mid-Market,5,2021-12-22,Retail
316,CUST-0316,Apex Customer 0316,Enterprise,1,2023-01-12,Construction
317,CUST-0317,Apex Customer 0317,Mid-Market,2,2023-07-23,Healthcare
318,CUST-0318,Apex Customer 0318,Enterprise,4,2022-05-12,Professional Services
319,CUST-0319,Apex Customer 0319,SME,4,2020-08-12,Healthcare
320,CUST-0320,Apex Customer 0320,Mid-Market,4,2022-10-04,Healthcare
321,CUST-0321,Apex Customer 0321,SME,5,2020-03-04,Education
322,CUST-0322,Apex Customer 0322,Mid-Market,2,2021-04-07,Hospitality
323,CUST-0323,Apex Customer 0323,SME,6,2023-03-24,Retail
324,CUST-0324,Apex Customer 0324,SME,5,2021-08-22,Manufacturing
325,CUST-0325,Apex Customer 0325,SME,5,2021-10-15,Hospitality
326,CUST-0326,Apex Customer 0326,SME,1,2021-02-25,Construction
327,CUST-0327,Apex Customer 0327,SME,5,2023-04-18,Manufacturing
328,CUST-0328,Apex Customer 0328,SME,1,2022-08-19,Healthcare
329,CUST-0329,Apex Customer 0329,SME,5,2023-10-16,Healthcare
330,CUST-0330,Apex Customer 0330,Mid-Market,1,2023-10-23,Education
331,CUST-0331,Apex Customer 0331,Mid-Market,2,2023-12-02,Construction
332,CUST-0332,Apex Customer 0332,SME,2,2023-03-26,Professional Services
333,CUST-0333,Apex Customer 0333,SME,2,2021-08-09,Construction
334,CUST-0334,Apex Customer 0334,SME,5,2023-06-14,Healthcare
335,CUST-0335,Apex Customer 0335,Mid-Market,4,2021-05-01,Healthcare
336,CUST-0336,Apex Customer 0336,Enterprise,6,2022-03-11,Construction
337,CUST-0337,Apex Customer 0337,SME,2,2021-06-25,Healthcare
338,CUST-0338,Apex Customer 0338,Enterprise,1,2021-02-13,Construction
339,CUST-0339,Apex Customer 0339,SME,1,2022-04-02,Hospitality
340,CUST-0340,Apex Customer 0340,SME,5,2021-05-05,Healthcare
341,CUST-0341,Apex Customer 0341,SME,3,2022-12-05,Healthcare
342,CUST-0342,Apex Customer 0342,SME,1,2023-09-08,Construction
343,CUST-0343,Apex Customer 0343,Mid-Market,2,2019-08-11,Manufacturing
344,CUST-0344,Apex Customer 0344,Mid-Market,1,2023-11-15,Healthcare
345,CUST-0345,Apex Customer 0345,SME,5,2021-09-01,Education
346,CUST-0346,Apex Customer 0346,SME,6,2022-01-12,Healthcare
347,CUST-0347,Apex Customer 0347,SME,4,2019-12-18,Healthcare
348,CUST-0348,Apex Customer 0348,SME,4,2021-11-03,Professional Services
349,CUST-0349,Apex Customer 0349,SME,2,2022-03-24,Healthcare
350,CUST-0350,Apex Customer 0350,SME,1,2022-07-04,Education
351,CUST-0351,Apex Customer 0351,Mid-Market,4,2022-07-05,Healthcare
352,CUST-0352,Apex Customer 0352,Mid-Market,4,2021-03-12,Education
353,CUST-0353,Apex Customer 0353,SME,4,2023-11-11,Professional Services
354,CUST-0354,Apex Customer 0354,SME,3,2021-04-06,Professional Services
355,CUST-0355,Apex Customer 0355,SME,5,2021-02-18,Manufacturing
356,CUST-0356,Apex Customer 0356,Mid-Market,2,2022-02-15,Construction
357,CUST-0357,Apex Customer 0357,Enterprise,1,2022-11-21,Education
358,CUST-0358,Apex Customer 0358,SME,3,2022-05-02,Healthcare
359,CUST-0359,Apex Customer 0359,SME,2,2023-05-20,Manufacturing
360,CUST-0360,Apex Customer 0360,SME,1,2022-11-24,Healthcare
361,CUST-0361,Apex Customer 0361,SME,6,2021-08-17,Manufacturing
362,CUST-0362,Apex Customer 0362,Mid-Market,1,2020-01-27,Healthcare
363,CUST-0363,Apex Customer 0363,SME,2,2022-09-15,Healthcare
364,CUST-0364,Apex Customer 0364,Mid-Market,5,2021-08-11,Manufacturing
365,CUST-0365,Apex Customer 0365,Mid-Market,4,2023-04-13,Hospitality
366,CUST-0366,Apex Customer 0366,SME,2,2022-01-26,Healthcare
367,CUST-0367,Apex Customer 0367,SME,1,2023-04-15,Manufacturing
368,CUST-0368,Apex Customer 0368,Mid-Market,5,2023-09-05,Construction
369,CUST-0369,Apex Customer 0369,SME,4,2021-08-11,Education
370,CUST-0370,Apex Customer 0370,Mid-Market,2,2021-03-19,Construction
371,CUST-0371,Apex Customer 0371,SME,2,2023-02-10,Education
