ProductKey,ProductID,ProductName,Category,Subcategory,StandardPrice,StandardCost
70,PRD-070,Furniture Product 10,Workplace Equipment,Furniture,157.55,94.93
71,PRD-071,Storage Product 11,Workplace Equipment,Storage,299.17,178.51
72,PRD-072,Safety Equipment Product 12,Workplace Equipment,Safety Equipment,245.84,151.04
73,PRD-073,Furniture Product 13,Workplace Equipment,Furniture,376.91,224.59
74,PRD-074,Storage Product 14,Workplace Equipment,Storage,73.39,45.7
75,PRD-075,Safety Equipment Product 15,Workplace Equipment,Safety Equipment,159.49,99.23
76,PRD-076,Furniture Product 16,Workplace Equipment,Furniture,47.12,28.69
77,PRD-077,Storage Product 17,Workplace Equipment,Storage,323.48,186.55
78,PRD-078,Safety Equipment Product 18,Workplace Equipment,Safety Equipment,423.99,272.22
79,PRD-079,Furniture Product 19,Workplace Equipment,Furniture,481.54,300.83
80,PRD-080,Storage Product 20,Workplace Equipment,Storage,331.34,216.43
81,PRD-081,Safety Equipment Product 21,Workplace Equipment,Safety Equipment,306.38,187.41
82,PRD-082,Furniture Product 22,Workplace Equipment,Furniture,421.54,247.26
83,PRD-083,Storage Product 23,Workplace Equipment,Storage,377.3,238.13
84,PRD-084,Safety Equipment Product 24,Workplace Equipment,Safety Equipment,96.83,63.63
85,PRD-085,Furniture Product 25,Workplace Equipment,Furniture,658.29,376.64
86,PRD-086,Storage Product 26,Workplace Equipment,Storage,45.82,27.55
87,PRD-087,Safety Equipment Product 27,Workplace Equipment,Safety Equipment,259.37,153.14
88,PRD-088,Furniture Product 28,Workplace Equipment,Furniture,360.84,224.59
89,PRD-089,Storage Product 29,Workplace Equipment,Storage,511.48,323.43
90,PRD-090,Safety Equipment Product 30,Workplace Equipment,Safety Equipment,488.02,292.81
91,PRD-091,Cleaning Product 01,Facilities,Cleaning,15.54,9.44
92,PRD-092,Kitchen Product 02,Facilities,Kitchen,136.05,76.65
93,PRD-093,Maintenance Product 03,Facilities,Maintenance,102.73,60.53
94,PRD-094,Cleaning Product 04,Facilities,Cleaning,104.7,64.34
95,PRD-095,Kitchen Product 05,Facilities,Kitchen,22.5,12.31
96,PRD-096,Maintenance Product 06,Facilities,Maintenance,32.39,18.81
97,PRD-097,Cleaning Product 07,Facilities,Cleaning,85.97,51.33
98,PRD-098,Kitchen Product 08,Facilities,Kitchen,100.01,62.11
99,PRD-099,Maintenance Product 09,Facilities,Maintenance,136.84,83.41
100,PRD-100,Cleaning Product 10,Facilities,Cleaning,140.28,79.35
101,PRD-101,Kitchen Product 11,Facilities,Kitchen,59.27,35.48
102,PRD-102,Maintenance Product 12,Facilities,Maintenance,73.0,43.37
103,PRD-103,Cleaning Product 13,Facilities,Cleaning,32.8,18.37
104,PRD-104,Kitchen Product 14,Facilities,Kitchen,141.43,83.51
105,PRD-105,Maintenance Product 15,Facilities,Maintenance,127.12,77.71
106,PRD-106,Cleaning Product 16,Facilities,Cleaning,101.07,58.97
107,PRD-107,Kitchen Product 17,Facilities,Kitchen,123.44,72.26
108,PRD-108,Maintenance Product 18,Facilities,Maintenance,106.53,65.31
109,PRD-109,Cleaning Product 19,Facilities,Cleaning,145.32,88.44
110,PRD-110,Kitchen Product 20,Facilities,Kitchen,96.51,59.21
111,PRD-111,Maintenance Product 21,Facilities,Maintenance,118.95,67.92
112,PRD-112,Cleaning Product 22,Facilities,Cleaning,46.37,26.0
113,PRD-113,Kitchen Product 23,Facilities,Kitchen,57.11,32.53
114,PRD-114,Maintenance Product 24,Facilities,Maintenance,117.81,67.36
115,PRD-115,Cleaning Product 25,Facilities,Cleaning,143.9,77.59
116,PRD-116,Kitchen Product 26,Facilities,Kitchen,18.93,11.02
117,PRD-117,Maintenance Product 27,Facilities,Maintenance,87.88,45.74
118,PRD-118,Cleaning Product 28,Facilities,Cleaning,139.89,74.46
119,PRD-119,Kitchen Product 29,Facilities,Kitchen,57.68,32.11
120,PRD-120,Maintenance Product 30,Facilities,Maintenance,28.99,16.38
